"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"109","0421","GYMNASE RENE BAILLIEU",968,19.63,1.03,4.68,11.3,34.94,10.91,1.04,0.52,0.13,10.39,1.17,24.94
"110","0422","SALLE DES FETES DE LA FICELLE",1151,19.03,2.9,1.99,11.27,27.51,13.7,1.77,0.22,0.22,10.5,1.33,31.49
"111","0423","SALLE DES FETES DE LA FICELLE",979,15.22,0.84,5.35,6.56,33.54,10.69,0.73,0.12,0,10.81,1.34,30.86
"112","0424","ECOLE COMMANDANT ARNAUD",832,18.27,1.32,5.51,5.66,23.1,18.48,0.75,0.45,0,10.28,0.89,34.87
"113","0501","MAIRIE DU 5èME",982,18.84,0.63,1.52,9.97,43.56,6.31,0.38,0.25,0.13,14.52,0.88,22.47
"114","0502","ECOLE FRANCOIS TRUFFAUT",993,25.98,0.95,1.92,11.54,25.14,12.09,0.69,0.27,0.41,6.18,1.24,40.52
"115","0503","ECOLE FRANCOIS TRUFFAUT",996,16.87,1.69,3.56,9.46,35.75,7.99,0.61,0.25,0.86,12.65,2.21,26.66
"116","0504","ECOLE FRANCOIS TRUFFAUT",1037,19.77,1.32,2.8,10.48,42.02,7.06,0.49,0.24,0.24,12.42,1.1,23.14
"117","0505","ECOLE MATERNELLE SECRET",931,17.72,1.57,4.11,7.96,42.84,6.9,0.53,0.27,0.53,14.85,2.39,19.63
"118","0506","ECOLE MATERNELLE SECRET",875,13.37,1.45,3.08,7.9,49.26,4.15,0.8,0,0.4,13.52,1.07,19.81
"119","0507","ECOLE LES GEMEAUX",1093,15.1,0.75,2.71,8.14,44.63,6.73,0.54,0.11,0.11,13.9,0.87,22.26
"120","0508","ECOLE LES GEMEAUX",1040,19.81,1.44,3.04,9.85,32.36,8.88,1.22,0.12,0,12.04,2.31,30.17
"121","0509","ECOLE LES GEMEAUX",882,23.24,0.89,3.13,15.2,28.32,11.03,0.89,1.04,0.15,10.73,1.79,27.72
